normalized_merchant,assigned_category,label_notes
XXXXXXXXITED,Recharge & Bills,raw handle contains rxairtel
XXXXXXXXANGI,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXNE N,,
XXXXXXXXNOR,,
XXXXXXXXDEME,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXUMAR,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXDRAS,,
XXXXXXXXARMA,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXUOH,,
XXXXXXXXINGH,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXATIN,Transfers,masked person-like counterparty bootstrap label
XXXXXXXX LTD,,
XXXXXXXXTION,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXBOOB,,
BLINKIT,Groceries,brand merchant
XXXXXXXXYUGA,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXALLY,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXINES,,
XXXXXXXXSAHI,Transfers,masked person-like counterparty bootstrap label
SWIGGY,Food & Dining,brand merchant
XXXXXXXXM 12,,
XXXXXXXX LLP,,
XXXXXXXXAKUR,Transfers,masked person-like counterparty bootstrap label
CLUBT,Entertainment,likely club or entertainment merchant
XXXXXXXXADAV,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXMP 6,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXFINA,,
XXXXXXXXWATH,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXICAL,,
XXXXXXXXQBAL,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXETRI,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXITHA,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXCOMM,Shopping,merchant token suggests commerce
XXXXXXXXRESH,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXALDS,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXRAJU,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXDEEP,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXHENS,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXAHAR,Food & Dining,merchant token suggests AAHAR/food
XXXXXXXXONDA,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXHLON,,
ZEPTO,Groceries,brand merchant
XXXXXXXXNDER,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXAMED,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXKERS,,
XXXXXXXXMACY,Transfers,masked person-like counterparty bootstrap label
XXXXXXXX RAM,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXLITY,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXCHEN,Transfers,masked person-like counterparty bootstrap label
ZOMATO,Food & Dining,brand merchant
XXXXXXXXOTEL,Travel,merchant token suggests HOTEL
XXXXXXXXAKES,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXURLS,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXIOSK,Shopping,merchant token suggests kiosk
XXXXXXXXRANT,Food & Dining,merchant token suggests RESTAURANT
XXXXXXXXSHOP,Shopping,merchant token contains SHOP
XXXXXXXXOREA,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXMATH,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXABHU,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXNT 5,,
XXXXXXXXHANT,,
XXXXXXXXDHAN,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXER B,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXVENI,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXWARI,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXMP 4,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXFOOD,Food & Dining,merchant token contains FOOD
XXXXXXXXEGUM,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXDHAR,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXEESA,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXVASU,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXISES,,
XXXXXXXXMP 1,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXRAVI,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXTELS,Recharge & Bills,merchant token suggests telecom
SPOTIFY INDIA PVT LTD,Entertainment,brand merchant
XXXXXXXXONOW,,
XXXXXXXXOINT,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXTORE,Shopping,merchant token suggests STORE
XXXXXXXXN M,Transfers,masked person-like counterparty bootstrap label
VALMIK,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXYANA,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXAN S,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXMMED,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXMDAS,Transfers,masked person-like counterparty bootstrap label
XXXXXXXX YOU,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXASAN,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXEPOT,Shopping,merchant token suggests depot
XXXXXXXXHAFI,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXINHA,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXLMAS,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXULLA,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXVEEN,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXATHI,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXARLA,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXNENI,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXAR V,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXDEVI,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXARAJ,,
XXXXXXXXREAM,,
XXXXXXXXRKET,,
XXXXXXXXLACE,,
XXXXXXXXDAVI,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXABHA,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXNDAR,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXANAM,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXMEER,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXIRVI,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXANCE,,
XXXXXXXXEETH,,
XXXXXXXXGWAN,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXNKAR,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXYBPB,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXOTHI,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXRAWA,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXARAM,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXARWE,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXORES,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXALAM,Transfers,masked person-like counterparty bootstrap label
XXXXXXXXALAN,,
XXXXXXXXAVAN,,
XXXXXXXXOHOL,,
XXXXXXXXDDIN,,
JIO,Recharge & Bills,brand merchant
XXXXXXXXCALS,,
XXXXXXXXMART,Groceries,merchant token contains MART
XXXXXXXXATEL,,
XXXXXXXXADAM,,
XXXXXXXXTTAR,,
BHAGWAN,,
XXXXXXXXAV S,,
XXXXXXXXEAMS,,
XXXXXXXXM C,,
XXXXXXXXMENT,,
XXXXXXXXMP 5,,
XXXXXXXXSONS,,
XXXXXXXXSULU,,
XXXXXXXXUNUS,,
XXXXXXXXKING,,
GO GRAB,,
XXXXXXXXTHIK,,
XXXXXXXXUHAM,,
XXXXXXXXEDDY,,
XXXXXXXXAN R,,
XXXXXXXXHESH,,
XXXXXXXXAMAN,,
XXXXXXXXKAKA,,
XXXXXXXXNWAR,,
RUPALI,,
XXXXXXXXDHAV,,
XXXXXXXX SAH,,
XXXXXXXXANDE,,
XXXXXXXXFSAR,,
XXXXXXXXGARE,,
XXXXXXXXEKAR,,
XXXXXXXXKARI,,
XXXXXXXXRANA,,
XXXXXXXXANYA,,
XXXXXXXXKWAD,,
XXXXXXXXNESH,,
XXXXXXXXRKAR,,
XXXXXXXXRWAL,,
XXXXXXXXSHMI,,
XXXXXXXXWAMY,,
XXXXXXXXAPIN,,
PMPML,,
SONABAI,,
XXXXXXXXATTU,,
XXXXXXXXAZIZ,,
XXXXXXXXGIRI,,
XXXXXXXXTORY,,
XXXXXXXXPLAY,Entertainment,merchant token contains PLAY
XXXXXXXXOODS,,
XXXXXXXX RAY,,
XXXXXXXXBALU,,
XXXXXXXXKHAN,,
XXXXXXXXLAST,,
XXXXXXXXMULU,,
XXXXXXXXWOOD,,
XXXXXXXXASIF,,
XXXXXXXXAMYA,,
XXXXXXXXDERA,,
XXXXXXXXRBIN,,
XXXXXXXX PAL,,
XXXXXXXXAIAH,,
XXXXXXXXANIL,,
XXXXXXXXAPPA,,
